arrival_time,arrival_date,airline,passengers,flight_number
16:02:00,2013-01-01,B6,950,393
19:35:00,2013-01-01,UA,2425,1726
22:50:00,2013-01-01,AA,2475,21
23:51:00,2013-01-01,B6,937,529
12:55:00,2013-01-02,DL,746,2343
18:53:00,2013-01-02,UA,1068,379
07:27:00,2013-01-03,MQ,719,3768
18:25:00,2013-01-03,EV,488,4997
20:50:00,2013-01-03,AA,733,353
13:42:00,2013-01-04,AA,2475,19
16:56:00,2013-01-04,EV,1092,4181
18:16:00,2013-01-04,UA,1400,53
22:27:00,2013-01-04,DL,1010,1435
22:37:00,2013-01-04,EV,1008,4348
08:01:00,2013-01-05,WN,888,1888
15:17:00,2013-01-05,UA,1400,954
21:16:00,2013-01-05,AA,187,1762
22:45:00,2013-01-05,AA,1005,1787
13:42:00,2013-01-06,WN,738,283
19:54:00,2013-01-06,B6,1065,509
09:55:00,2013-01-07,9E,740,3521
12:58:00,2013-01-07,AA,733,327
21:19:00,2013-01-07,AA,187,1762
21:39:00,2013-01-07,UA,1065,1292
16:29:00,2013-01-08,FL,762,349
10:14:00,2013-01-09,UA,2454,604
11:20:00,2013-01-09,EV,228,5711
15:39:00,2013-01-09,UA,937,1641
22:11:00,2013-01-09,US,214,2191
22:31:00,2013-01-09,MQ,213,4449
08:58:00,2013-01-10,AA,1096,1837
10:03:00,2013-01-10,AA,1372,2083
09:06:00,2013-01-11,UA,1620,338
11:57:00,2013-01-11,B6,1521,1061
10:12:00,2013-01-12,B6,266,56
13:37:00,2013-01-12,UA,1068,1606
16:24:00,2013-01-12,EV,594,4572
16:33:00,2013-01-12,US,529,720
19:51:00,2013-01-12,US,541,373
15:47:00,2013-01-13,AA,1389,745
16:50:00,2013-01-14,UA,1023,424
12:34:00,2013-01-15,MQ,502,4589
18:59:00,2013-01-15,AA,2475,133
20:33:00,2013-01-15,MQ,719,3730
13:08:00,2013-01-16,B6,1035,361
13:16:00,2013-01-16,EV,628,4689
16:00:00,2013-01-16,UA,2565,583
19:39:00,2013-01-16,UA,1400,551
21:01:00,2013-01-16,UA,719,120
21:16:00,2013-01-16,US,544,1491
18:20:00,2013-01-17,EV,529,4326
19:19:00,2013-01-17,AA,733,345
22:25:00,2013-01-18,DL,950,1485
19:48:00,2013-01-19,DL,762,1499
22:24:00,2013-01-19,DL,2586,1465
12:16:00,2013-01-20,UA,2565,665
19:22:00,2013-01-20,EV,416,4485
10:28:00,2013-01-21,AA,1069,825
10:41:00,2013-01-21,B6,1598,709
18:25:00,2013-01-21,UA,2227,1550
09:11:00,2013-01-22,B6,1069,125
12:42:00,2013-01-22,AA,1389,721
22:27:00,2013-01-22,EV,866,5038
07:53:00,2013-01-23,B6,301,102
10:11:00,2013-01-23,AA,1389,707
16:49:00,2013-01-23,DL,1020,1819
21:21:00,2013-01-23,9E,427,3373
07:34:00,2013-01-24,WN,711,3839
23:53:00,2013-01-24,EV,209,4695
09:41:00,2013-01-25,AA,944,1815
13:23:00,2013-01-25,B6,2248,197
18:50:00,2013-01-25,EV,946,4411
19:54:00,2013-01-25,AA,2248,257
10:39:00,2013-01-26,US,541,487
11:38:00,2013-01-26,AA,1389,717
10:18:00,2013-01-27,UA,1400,646
12:36:00,2013-01-27,MQ,502,4589
21:49:00,2013-01-27,UA,937,1109
09:04:00,2013-01-28,EV,266,4233
16:54:00,2013-01-28,EV,416,4125
21:04:00,2013-01-28,DL,1020,2019
18:00:00,2013-01-30,UA,404,17
01:24:00,2013-01-31,WN,725,530
