arrival_time,arrival_date,airline,passengers,flight_number
21:40:00,2013-01-01,DL,762,947
08:37:00,2013-01-02,US,541,1567
13:56:00,2013-01-05,AA,1389,731
19:42:00,2013-01-08,AA,2248,257
15:08:00,2013-01-12,AA,2475,3
12:06:00,2013-01-15,EV,748,4187
13:34:00,2013-01-20,AA,187,1850
09:23:00,2013-01-21,UA,1416,1410
14:55:00,2013-02-01,DL,502,1131
21:00:00,2013-02-04,EV,488,5203
01:28:00,2013-02-05,UA,1585,1071
12:25:00,2013-02-11,VX,2475,407
12:44:00,2013-02-13,AA,733,327
21:17:00,2013-02-20,DL,760,951
18:20:00,2013-02-25,EV,1008,4667
17:44:00,2013-02-26,EV,820,3828
09:35:00,2013-03-01,B6,1074,135
22:46:00,2013-03-12,EV,199,4350
08:55:00,2013-03-14,B6,1182,117
10:08:00,2013-03-17,B6,187,1004
22:48:00,2013-03-20,EV,284,4353
22:51:00,2013-03-22,DL,1035,2370
23:31:00,2013-03-24,B6,1626,97
09:53:00,2013-04-04,UA,1023,1627
13:44:00,2013-04-08,MQ,419,4553
12:09:00,2013-04-09,B6,1005,59
19:37:00,2013-04-16,DL,502,2331
12:24:00,2013-04-22,B6,1598,403
20:37:00,2013-04-22,B6,636,1275
11:17:00,2013-04-24,B6,1069,901
10:52:00,2013-04-30,AA,733,313
12:57:00,2013-05-04,DL,2586,1765
00:57:00,2013-05-08,UA,1167,849
17:14:00,2013-05-08,UA,2565,1606
22:37:00,2013-05-09,EV,569,4536
15:27:00,2013-05-10,UA,937,1130
10:18:00,2013-05-11,UA,1065,1251
14:06:00,2013-05-16,UA,2227,1605
08:50:00,2013-05-20,UA,1620,781
20:29:00,2013-05-20,UA,2565,378
09:17:00,2013-05-21,MQ,719,3737
22:04:00,2013-05-27,VX,2454,169
10:52:00,2013-06-02,9E,94,3608
22:25:00,2013-06-03,UA,2586,389
11:12:00,2013-06-07,B6,1041,341
12:28:00,2013-06-08,B6,950,393
07:05:00,2013-06-12,UA,719,569
17:20:00,2013-06-18,EV,277,5797
19:26:00,2013-06-22,DL,2586,141
18:21:00,2013-06-26,EV,246,4322
10:28:00,2013-06-28,MQ,479,3407
20:06:00,2013-06-28,DL,1096,1129
18:53:00,2013-06-29,AA,740,1711
23:36:00,2013-07-03,UA,2454,1735
23:14:00,2013-07-08,EV,628,4370
10:10:00,2013-07-11,UA,2434,1103
15:07:00,2013-07-17,WN,1428,40
17:43:00,2013-07-21,YV,229,3771
09:51:00,2013-07-30,UA,2434,288
20:29:00,2013-07-30,WN,1167,1454
10:16:00,2013-08-01,AA,1005,1757
11:56:00,2013-08-02,EV,872,4711
17:05:00,2013-08-05,B6,944,1883
20:44:00,2013-08-06,WN,1167,1454
20:56:00,2013-08-06,9E,187,3385
18:33:00,2013-08-22,9E,740,3523
10:26:00,2013-08-27,EV,569,6140
22:05:00,2013-08-28,US,541,425
11:55:00,2013-08-29,EV,419,5959
16:54:00,2013-09-01,US,214,2187
23:43:00,2013-09-12,DL,1010,1435
10:34:00,2013-09-15,B6,828,677
15:08:00,2013-09-20,EV,209,4201
21:39:00,2013-09-20,DL,502,2131
17:14:00,2013-09-26,EV,605,4576
20:43:00,2013-09-30,AA,733,363
17:57:00,2013-10-03,UA,1416,1744
00:49:00,2013-10-11,VX,2475,415
19:44:00,2013-10-13,UA,1400,1695
22:02:00,2013-10-19,9E,187,3336
15:04:00,2013-10-20,UA,200,1163
19:05:00,2013-10-24,WN,872,19
00:47:00,2013-10-26,B6,1521,1295
21:37:00,2013-10-26,AA,187,2314
16:54:00,2013-11-10,UA,2454,1054
10:47:00,2013-11-13,UA,200,1437
16:00:00,2013-11-15,9E,228,2936
21:27:00,2013-11-17,UA,1620,1279
13:59:00,2013-11-21,MQ,764,3461
20:22:00,2013-11-28,B6,950,299
10:51:00,2013-12-06,DL,1990,2421
12:00:00,2013-12-06,B6,301,2602
16:52:00,2013-12-06,US,529,721
19:26:00,2013-12-07,EV,872,4202
22:13:00,2013-12-18,AA,1096,2437
14:24:00,2013-12-19,UA,997,249
17:57:00,2013-12-19,UA,719,374
14:13:00,2013-12-22,DL,1096,2098
23:14:00,2013-12-22,9E,1182,2925
13:21:00,2013-12-30,MQ,479,3281
