arrival_time,arrival_date,airline,passengers,flight_number
00:06:00,2013-01-01,B6,937,227
09:03:00,2013-01-01,AA,187,1838
10:02:00,2013-01-01,DL,1096,2003
10:28:00,2013-01-01,AA,1389,711
11:18:00,2013-01-01,B6,1069,3
12:19:00,2013-01-01,VX,2248,251
13:12:00,2013-01-01,MQ,213,4425
13:26:00,2013-01-01,DL,762,1647
14:54:00,2013-01-01,MQ,431,4475
16:07:00,2013-01-01,UA,1416,1280
17:31:00,2013-01-01,AA,888,2223
20:07:00,2013-01-01,EV,228,5714
20:36:00,2013-01-01,UA,937,376
21:48:00,2013-01-01,FL,397,354
23:36:00,2013-01-01,AA,1598,1613
23:58:00,2013-01-01,EV,1017,4543
09:12:00,2013-01-02,EV,266,4233
09:59:00,2013-01-02,B6,1576,725
11:54:00,2013-01-02,B6,1068,553
13:34:00,2013-01-02,UA,2227,1605
13:49:00,2013-01-02,AA,187,1850
13:56:00,2013-01-02,AA,1389,739
15:05:00,2013-01-02,9E,569,3903
18:53:00,2013-01-02,UA,1085,80
20:40:00,2013-01-02,UA,1400,1125
20:53:00,2013-01-02,EV,748,3807
22:55:00,2013-01-02,9E,184,4091
23:01:00,2013-01-02,B6,301,104
00:41:00,2013-01-03,B6,1065,515
00:49:00,2013-01-03,DL,2475,2363
11:08:00,2013-01-03,B6,427,1103
11:58:00,2013-01-03,WN,185,321
13:19:00,2013-01-03,B6,1598,717
15:16:00,2013-01-03,B6,187,1010
16:38:00,2013-01-03,EV,569,4687
17:02:00,2013-01-03,DL,502,1231
17:13:00,2013-01-03,9E,292,3719
18:39:00,2013-01-03,AA,1389,759
18:47:00,2013-01-03,UA,719,630
19:17:00,2013-01-03,DL,944,4
21:54:00,2013-01-03,B6,2248,711
22:20:00,2013-01-03,DL,2422,1643
08:54:00,2013-01-04,DL,1183,2006
08:56:00,2013-01-04,UA,937,1429
11:23:00,2013-01-04,DL,762,1747
15:50:00,2013-01-04,DL,760,2043
16:15:00,2013-01-04,B6,950,393
17:26:00,2013-01-04,DL,1035,1902
18:28:00,2013-01-04,UA,1065,1624
18:31:00,2013-01-04,FL,762,620
18:58:00,2013-01-04,B6,1065,509
19:38:00,2013-01-04,B6,944,157
