flight_number,airline,passengers,arrival_date,arrival_time
21,B6,1005,20130101,19000101014000
1180,UA,1608,20130101,19000101014600
1919,DL,1020,20130101,19000101081200
4406,MQ,427,20130101,19000101094900
4576,MQ,544,20130101,19000101104700
671,B6,2475,20130101,19000101105800
1626,UA,2425,20130101,19000101121500
57,B6,1028,20130101,19000101122100
4322,EV,725,20130101,19000101123100
4425,MQ,213,20130101,19000101131200
1031,DL,502,20130101,19000101131800
1715,DL,1183,20130101,19000101145100
3823,MQ,213,20130101,19000101164300
4935,EV,746,20130101,19000101165900
2335,WN,2133,20130101,19000101173600
153,B6,944,20130101,19000101180500
507,DL,950,20130101,19000101183000
1039,AA,1069,20130101,19000101184100
4484,MQ,764,20130101,19000101200200
4382,EV,488,20130101,19000101201100
1676,UA,719,20130101,19000101202000
3267,EV,529,20130101,19000101212500
853,DL,2586,20130101,19000101231100
1743,DL,760,20130102,19000101084600
2003,DL,1096,20130102,19000101101500
56,B6,266,20130102,19000101102600
1526,UA,1068,20130102,19000101102700
611,B6,828,20130102,19000101111700
4485,MQ,479,20130102,19000101131300
4646,MQ,1020,20130102,19000101134300
1294,UA,1065,20130102,19000101140000
633,UA,1416,20130102,19000101155200
3793,9E,541,20130102,19000101170700
317,UA,419,20130102,19000101174300
1051,UA,404,20130102,19000101180500
1790,AA,187,20130102,19000101181000
74,B6,266,20130102,19000101185000
4255,MQ,765,20130102,19000101185700
4661,MQ,762,20130102,19000101200400
773,AA,1389,20130102,19000101201700
4170,EV,143,20130102,19000101223400
4276,EV,116,20130102,19000101234000
608,B6,273,20130103,19000101000900
2163,US,214,20130103,19000101081500
2003,DL,1096,20130103,19000101102300
910,UA,1504,20130103,19000101103200
986,WN,725,20130103,19000101110000
4234,EV,872,20130103,19000101114000
1597,UA,1726,20130103,19000101121900
717,B6,1598,20130103,19000101131900
23,VX,2586,20130103,19000101132300
1057,WN,888,20130103,19000101132300
4368,EV,116,20130103,19000101135800
4280,EV,169,20130103,19000101145600
4640,EV,533,20130103,19000101151100
1685,DL,950,20130103,19000101155000
2253,AA,1096,20130103,19000101160000
4622,MQ,764,20130103,19000101181200
4027,9E,569,20130103,19000101185900
1927,WN,711,20130103,19000101190800
4,DL,944,20130103,19000101191700
31,DL,2586,20130103,19000101201900
1779,DL,1076,20130103,19000101203700
4091,9E,184,20130103,19000101203900
402,DL,187,20130103,19000101210700
1454,UA,2434,20130103,19000101210800
47,B6,1069,20130103,19000101235100
713,B6,1598,20130104,19000101025700
4490,MQ,479,20130104,19000101095100
4023,9E,569,20130104,19000101100800
987,B6,944,20130104,19000101103000
373,B6,1076,20130104,19000101134900
1699,UA,719,20130104,19000101141000
3762,9E,569,20130104,19000101165100
3820,EV,642,20130104,19000101181600
1259,UA,1416,20130104,19000101195500
329,DL,1598,20130104,19000101212700
1709,AA,1096,20130104,19000101223700
4662,MQ,762,20130104,19000101225800
4224,EV,725,20130104,19000101231400
1671,UA,1065,20130105,19000101084600
4,B6,301,20130105,19000101105700
3667,9E,94,20130105,19000101110700
715,B6,1598,20130105,19000101120000
1174,B6,200,20130105,19000101132900
332,UA,1416,20130105,19000101135100
863,DL,2475,20130105,19000101145600
3452,9E,187,20130105,19000101154800
5469,EV,963,20130105,19000101164200
5693,EV,229,20130105,19000101203800
547,B6,1023,20130105,19000101205300
217,B6,2465,20130105,19000101214100
3439,9E,589,20130105,19000101215800
415,VX,2475,20130105,19000101233000
1613,AA,1598,20130106,19000101002200
117,B6,1182,20130106,19000101102500
692,WN,1620,20130106,19000101102800
715,AA,1389,20130106,19000101104200
1167,DL,1005,20130106,19000101112300
73,UA,2565,20130106,19000101151400
1685,DL,950,20130106,19000101153700
268,UA,200,20130106,19000101155100
525,B6,937,20130106,19000101162000
4415,MQ,431,20130106,19000101173600
4667,EV,1008,20130106,19000101175900
1467,AA,1096,20130106,19000101191800
2370,DL,1035,20130106,19000101224700
381,B6,1076,20130107,19000101001900
701,B6,1598,20130107,19000101020100
2114,US,184,20130107,19000101070000
1433,US,544,20130107,19000101080900
1141,AA,1089,20130107,19000101082700
3737,MQ,719,20130107,19000101085400
4233,EV,266,20130107,19000101094000
305,UA,937,20130107,19000101101700
181,B6,2446,20130107,19000101110900
655,AA,1623,20130107,19000101131500
2099,AA,1096,20130107,19000101142600
3826,EV,746,20130107,19000101153100
4447,MQ,431,20130107,19000101172400
1665,US,544,20130107,19000101173000
153,B6,944,20130107,19000101174400
2183,US,214,20130107,19000101182900
808,WN,169,20130107,19000101190800
559,UA,937,20130107,19000101193700
5714,EV,228,20130107,19000101200200
2019,DL,1020,20130107,19000101203400
989,B6,1069,20130107,19000101205700
4437,EV,605,20130107,19000101212100
983,UA,997,20130107,19000101230000
3935,WN,725,20130108,19000101091700
2279,AA,1096,20130108,19000101095500
4636,EV,199,20130108,19000101104600
1410,UA,1400,20130108,19000101104900
4478,MQ,502,20130108,19000101111000
112,UA,2475,20130108,19000101114100
1480,UA,2565,20130108,19000101115300
25,B6,1069,20130108,19000101121200
405,UA,2454,20130108,19000101123700
3667,9E,94,20130108,19000101131200
501,UA,2227,20130108,19000101133200
4298,EV,1092,20130108,19000101135300
1357,AA,1598,20130108,19000101140100
4120,EV,282,20130108,19000101142500
1174,DL,1035,20130108,19000101143500
3387,9E,427,20130108,19000101174500
1504,UA,2425,20130108,19000101185600
143,B6,1028,20130108,19000101194700
4626,MQ,479,20130108,19000101194800
565,AA,1391,20130108,19000101202400
145,AA,2446,20130108,19000101203200
3525,9E,740,20130108,19000101205800
155,B6,944,20130108,19000101215500
1018,B6,187,20130108,19000101233900
1002,B6,187,20130109,19000101072800
675,US,529,20130109,19000101101100
369,WN,711,20130109,19000101101600
611,B6,828,20130109,19000101105900
2319,DL,1020,20130109,19000101121200
3750,YV,229,20130109,19000101154300
1902,DL,1035,20130109,19000101171900
4181,EV,1092,20130109,19000101173000
4415,MQ,431,20130109,19000101173100
4485,EV,416,20130109,19000101181000
3805,EV,708,20130109,19000101183700
1695,DL,1010,20130109,19000101190600
1111,UA,2565,20130109,19000101190700
1440,UA,2227,20130109,19000101192500
2140,US,184,20130109,19000101195200
711,B6,2248,20130109,19000101205500
527,B6,937,20130109,19000101213200
1854,DL,1076,20130109,19000101223900
4133,EV,594,20130109,19000101225400
