arrival_time,arrival_date,airline,passengers,flight_number
10:39:00,2013-01-01,DL,762,2047
10:59:00,2013-01-02,EV,1008,4420
21:51:00,2013-01-02,EV,282,4462
23:14:00,2013-01-02,9E,1182,3364
13:50:00,2013-01-04,UA,2475,703
23:11:00,2013-01-04,AA,187,1762
05:03:00,2013-01-05,B6,1617,739
14:27:00,2013-01-06,DL,502,1131
16:25:00,2013-01-06,EV,645,4519
21:43:00,2013-01-06,UA,2133,979
10:43:00,2013-01-07,B6,301,4
10:52:00,2013-01-07,MQ,502,4478
14:57:00,2013-01-07,DL,1035,1174
11:05:00,2013-01-08,DL,1069,1271
18:04:00,2013-01-10,EV,533,4092
17:24:00,2013-01-11,B6,200,1176
21:28:00,2013-01-11,9E,1029,3542
22:13:00,2013-01-12,AA,1005,1787
08:10:00,2013-01-14,DL,1020,1919
16:38:00,2013-01-14,AA,1389,753
11:32:00,2013-01-15,WN,738,1964
10:32:00,2013-01-16,UA,1416,1605
15:01:00,2013-01-16,DL,1096,2044
09:54:00,2013-01-17,AA,944,1815
10:19:00,2013-01-17,B6,264,20
16:49:00,2013-01-17,UA,200,1116
19:25:00,2013-01-17,B6,944,157
09:28:00,2013-01-19,UA,1620,339
13:21:00,2013-01-20,UA,1023,927
21:01:00,2013-01-20,US,544,1491
11:22:00,2013-01-21,DL,746,485
16:30:00,2013-01-21,UA,2454,1110
19:05:00,2013-01-21,AA,1389,763
17:47:00,2013-01-23,UA,937,315
00:04:00,2013-01-25,DL,1183,1715
09:03:00,2013-01-25,AA,1389,707
15:17:00,2013-01-25,AA,2475,3
19:54:00,2013-01-25,B6,1028,143
21:28:00,2013-01-25,UA,733,695
11:54:00,2013-01-26,UA,2586,799
16:06:00,2013-01-26,UA,937,1232
18:04:00,2013-01-26,B6,1598,705
14:01:00,2013-01-29,EV,529,4641
16:43:00,2013-01-30,WN,725,348
00:27:00,2013-02-01,B6,1076,383
09:46:00,2013-02-01,UA,1620,338
10:08:00,2013-02-03,UA,2586,691
12:21:00,2013-02-03,AA,1389,721
12:05:00,2013-02-04,UA,1023,634
15:41:00,2013-02-04,UA,200,1207
21:45:00,2013-02-04,AA,2422,269
22:04:00,2013-02-04,9E,425,3899
12:31:00,2013-02-05,B6,200,1174
19:03:00,2013-02-05,UA,937,1686
13:18:00,2013-02-06,DL,762,1647
19:50:00,2013-02-06,AA,1096,1467
20:45:00,2013-02-06,AA,888,2019
12:13:00,2013-02-07,9E,301,3317
16:12:00,2013-02-07,EV,746,3826
10:31:00,2013-02-08,EV,277,4409
00:35:00,2013-02-09,B6,1065,515
22:22:00,2013-02-09,9E,589,3439
08:11:00,2013-02-11,B6,740,905
18:32:00,2013-02-11,UA,200,531
07:43:00,2013-02-13,AA,733,303
12:49:00,2013-02-14,EV,746,4963
11:02:00,2013-02-15,F9,1620,835
11:02:00,2013-02-15,UA,2133,583
13:29:00,2013-02-16,MQ,764,4601
20:36:00,2013-02-16,UA,1065,1147
16:33:00,2013-02-17,UA,937,281
13:56:00,2013-02-18,B6,1076,373
21:14:00,2013-02-18,DL,762,1499
21:38:00,2013-02-19,MQ,290,4323
09:00:00,2013-02-20,UA,2586,303
23:31:00,2013-02-20,EV,1134,4555
13:23:00,2013-02-21,UA,1065,100
14:06:00,2013-02-21,DL,746,401
00:06:00,2013-02-24,UA,1400,574
12:29:00,2013-02-24,B6,1076,375
11:08:00,2013-02-25,F9,1620,835
19:14:00,2013-02-25,DL,1990,1773
09:03:00,2013-02-26,AA,1085,1895
10:06:00,2013-02-26,DL,2475,763
10:14:00,2013-02-26,DL,2586,1865
01:23:00,2013-02-27,B6,209,22
03:16:00,2013-02-27,B6,1598,701
19:09:00,2013-02-27,DL,502,2231
18:25:00,2013-02-28,EV,872,4202
20:44:00,2013-03-01,UA,200,1064
09:59:00,2013-03-02,DL,1020,2119
18:23:00,2013-03-03,EV,199,4373
07:07:00,2013-03-04,B6,301,208
10:09:00,2013-03-04,EV,946,4600
18:13:00,2013-03-06,UA,1023,1122
08:35:00,2013-03-07,UA,2227,511
12:37:00,2013-03-07,B6,1076,375
20:42:00,2013-03-07,UA,1504,1437
07:40:00,2013-03-08,AA,733,301
15:33:00,2013-03-08,AA,1598,1357
16:45:00,2013-03-08,9E,301,3318
18:54:00,2013-03-08,AA,733,341
23:44:00,2013-03-08,B6,1990,87
08:24:00,2013-03-11,WN,738,3048
14:18:00,2013-03-11,B6,301,66
15:54:00,2013-03-11,UA,404,1266
00:40:00,2013-03-12,UA,1585,1071
12:51:00,2013-03-12,EV,335,5273
16:23:00,2013-03-12,DL,762,2247
22:48:00,2013-03-12,EV,212,4258
09:52:00,2013-03-14,UA,1400,321
22:59:00,2013-03-14,UA,1372,299
12:23:00,2013-03-15,EV,282,4221
18:09:00,2013-03-16,UA,2133,1265
18:24:00,2013-03-16,UA,1400,1602
15:09:00,2013-03-18,EV,533,4640
10:52:00,2013-03-20,WN,725,2074
20:06:00,2013-03-20,AA,1521,695
18:17:00,2013-03-21,AA,1089,1769
18:35:00,2013-03-21,EV,708,4294
09:11:00,2013-03-22,B6,200,1172
10:22:00,2013-03-22,EV,416,4548
11:31:00,2013-03-22,EV,946,4600
08:24:00,2013-03-23,MQ,719,3737
18:43:00,2013-03-23,EV,708,4294
21:21:00,2013-03-23,B6,2475,675
22:11:00,2013-03-23,B6,944,155
17:24:00,2013-03-24,MQ,544,4579
17:37:00,2013-03-24,EV,416,4645
08:37:00,2013-03-26,B6,1028,145
20:31:00,2013-03-26,9E,184,4091
21:03:00,2013-03-26,EV,529,4153
22:06:00,2013-03-27,MQ,479,4555
11:23:00,2013-03-29,DL,746,485
17:50:00,2013-03-29,DL,2475,963
23:17:00,2013-03-29,B6,1028,39
15:52:00,2013-04-02,EV,229,5968
18:46:00,2013-04-02,9E,569,3881
20:38:00,2013-04-03,UA,1085,80
11:04:00,2013-04-04,F9,1620,835
13:40:00,2013-04-04,WN,872,1791
17:47:00,2013-04-06,EV,282,4216
09:31:00,2013-04-07,B6,200,1172
10:12:00,2013-04-09,DL,1008,2165
10:35:00,2013-04-09,DL,1020,2119
10:44:00,2013-04-09,UA,1085,681
11:17:00,2013-04-09,DL,746,485
12:10:00,2013-04-10,EV,820,4298
15:25:00,2013-04-10,EV,266,4633
15:14:00,2013-04-11,EV,746,4898
13:20:00,2013-04-12,AA,733,327
23:44:00,2013-04-12,UA,2586,389
09:16:00,2013-04-14,UA,937,746
15:46:00,2013-04-14,AA,1389,745
13:23:00,2013-04-15,EV,246,4511
16:02:00,2013-04-15,US,2133,186
00:13:00,2013-04-16,UA,2565,1671
10:31:00,2013-04-17,B6,1069,201
15:40:00,2013-04-17,DL,950,1685
09:26:00,2013-04-18,B6,944,987
11:16:00,2013-04-19,B6,1608,215
20:56:00,2013-04-19,AA,1085,1999
17:34:00,2013-04-21,B6,944,1783
18:28:00,2013-04-21,US,2133,140
23:32:00,2013-04-21,UA,2475,771
20:24:00,2013-04-22,DL,2454,1394
17:27:00,2013-04-25,9E,213,3393
23:09:00,2013-04-25,DL,762,1147
23:40:00,2013-04-25,B6,937,527
11:57:00,2013-04-27,B6,1028,57
13:18:00,2013-04-27,EV,594,3819
07:47:00,2013-04-28,DL,1020,1919
09:37:00,2013-04-29,UA,1400,709
12:07:00,2013-04-29,UA,1065,1170
23:00:00,2013-04-29,B6,1028,39
09:24:00,2013-04-30,WN,1605,35
21:35:00,2013-04-30,FL,397,354
22:13:00,2013-04-30,UA,4963,15
19:56:00,2013-05-01,B6,1069,15
09:52:00,2013-05-02,MQ,479,4607
19:02:00,2013-05-02,FL,762,716
21:07:00,2013-05-04,FL,762,682
22:20:00,2013-05-05,EV,645,4329
11:30:00,2013-05-06,UA,2475,1730
16:06:00,2013-05-06,EV,246,4284
19:29:00,2013-05-06,DL,746,2042
16:07:00,2013-05-08,DL,762,1647
20:40:00,2013-05-08,US,184,2140
21:48:00,2013-05-08,MQ,444,4517
08:47:00,2013-05-09,US,544,1433
10:35:00,2013-05-11,B6,209,42
08:24:00,2013-05-12,US,544,1433
15:53:00,2013-05-12,DL,950,1685
17:31:00,2013-05-12,AA,1389,759
11:39:00,2013-05-14,B6,944,183
15:12:00,2013-05-14,UA,2565,1266
19:35:00,2013-05-14,MQ,431,4601
13:22:00,2013-05-16,9E,187,3465
19:45:00,2013-05-16,DL,762,1499
23:16:00,2013-05-16,B6,1182,115
17:24:00,2013-05-17,B6,944,151
19:12:00,2013-05-17,EV,946,4411
17:41:00,2013-05-18,9E,740,3523
20:59:00,2013-05-18,9E,509,3285
12:35:00,2013-05-20,B6,200,1174
18:14:00,2013-05-20,EV,445,4702
13:39:00,2013-05-21,AA,187,1850
18:32:00,2013-05-21,US,214,2183
08:11:00,2013-05-23,US,214,2163
13:30:00,2013-05-23,B6,2248,711
17:34:00,2013-05-24,EV,1092,4181
17:59:00,2013-05-24,MQ,544,4579
12:34:00,2013-05-25,B6,1005,65
18:27:00,2013-05-25,9E,662,4003
12:17:00,2013-05-26,AA,1389,1097
16:37:00,2013-05-27,EV,463,5675
10:53:00,2013-05-28,DL,1010,1109
09:20:00,2013-05-29,B6,427,1103
19:33:00,2013-05-29,UA,1605,485
23:41:00,2013-05-29,UA,1167,588
14:34:00,2013-06-01,AA,733,331
01:33:00,2013-06-02,B6,264,30
02:22:00,2013-06-02,UA,1167,1548
11:35:00,2013-06-04,MQ,719,3795
18:08:00,2013-06-05,B6,200,1176
18:52:00,2013-06-05,UA,937,1593
20:53:00,2013-06-05,US,184,2142
23:48:00,2013-06-05,DL,760,73
06:44:00,2013-06-06,US,96,1629
15:03:00,2013-06-08,EV,529,4301
19:54:00,2013-06-08,UA,1400,675
22:56:00,2013-06-08,UA,2425,1555
23:25:00,2013-06-08,B6,427,1109
17:46:00,2013-06-10,B6,1069,301
12:59:00,2013-06-11,DL,762,1647
19:21:00,2013-06-11,UA,733,1664
09:01:00,2013-06-12,UA,2227,1506
20:32:00,2013-06-12,UA,200,1703
22:16:00,2013-06-12,UA,2565,1141
10:39:00,2013-06-14,DL,1005,1167
10:52:00,2013-06-14,DL,944,1959
07:59:00,2013-06-15,US,529,874
16:52:00,2013-06-15,EV,872,4596
09:57:00,2013-06-16,EV,746,5123
08:17:00,2013-06-17,FL,762,345
20:03:00,2013-06-17,EV,431,4878
12:34:00,2013-06-18,WN,764,3297
10:01:00,2013-06-19,DL,1990,1415
08:05:00,2013-06-21,US,544,1100
14:32:00,2013-06-21,HA,4983,51
18:37:00,2013-06-21,B6,200,2580
09:39:00,2013-06-22,UA,937,231
15:29:00,2013-06-23,DL,762,781
15:56:00,2013-06-23,9E,228,4275
16:19:00,2013-06-23,DL,502,1231
17:41:00,2013-06-23,AA,733,343
18:03:00,2013-06-23,B6,1076,1171
18:45:00,2013-06-23,B6,173,1438
16:54:00,2013-06-24,B6,1080,1639
01:20:00,2013-06-25,B6,1076,1271
07:57:00,2013-06-25,US,529,1965
08:46:00,2013-06-26,B6,1076,371
14:57:00,2013-06-27,US,544,1459
19:13:00,2013-06-27,UA,937,493
20:46:00,2013-06-27,UA,2133,370
03:43:00,2013-06-28,B6,1069,1201
18:59:00,2013-07-01,DL,762,1947
23:07:00,2013-07-01,AA,2446,145
19:09:00,2013-07-02,MQ,290,3216
09:40:00,2013-07-03,B6,273,8
20:15:00,2013-07-03,DL,1990,31
14:39:00,2013-07-04,B6,2475,323
13:25:00,2013-07-07,UA,200,244
00:25:00,2013-07-08,UA,1400,1740
07:58:00,2013-07-08,UA,1416,479
08:35:00,2013-07-08,B6,1182,675
23:14:00,2013-07-08,MQ,764,3660
14:45:00,2013-07-09,B6,173,1338
20:13:00,2013-07-09,UA,937,1109
21:55:00,2013-07-10,DL,1969,479
08:20:00,2013-07-12,WN,872,1696
20:08:00,2013-07-12,EV,284,5824
10:36:00,2013-07-13,B6,209,116
17:26:00,2013-07-13,AA,1372,883
19:11:00,2013-07-13,UA,1400,1178
