arrival_time,arrival_date,airline,passengers,flight_number
07:40:00,2013-01-01,UA,719,1696
11:11:00,2013-01-01,AA,1389,715
11:40:00,2013-01-01,EV,282,4709
11:57:00,2013-01-01,UA,2402,1670
12:01:00,2013-01-01,WN,185,321
12:31:00,2013-01-01,DL,1080,1335
16:34:00,2013-01-01,9E,228,4105
17:47:00,2013-01-01,B6,200,1176
19:53:00,2013-01-01,AA,1096,1467
20:04:00,2013-01-01,EV,642,3843
07:48:00,2013-01-02,MQ,502,4401
08:06:00,2013-01-02,US,214,2163
08:46:00,2013-01-02,UA,719,393
12:20:00,2013-01-02,B6,266,24
14:14:00,2013-01-02,EV,116,4660
16:00:00,2013-01-02,UA,1608,1663
16:53:00,2013-01-02,WN,738,2081
17:07:00,2013-01-02,9E,541,3793
17:24:00,2013-01-02,EV,594,4572
20:07:00,2013-01-02,B6,1005,163
20:33:00,2013-01-02,AA,2475,181
10:57:00,2013-01-03,B6,937,517
11:03:00,2013-01-03,AA,733,305
11:20:00,2013-01-03,UA,2475,871
14:56:00,2013-01-03,EV,169,4280
16:48:00,2013-01-03,DL,746,935
17:02:00,2013-01-03,DL,502,1231
17:59:00,2013-01-03,DL,2475,963
18:30:00,2013-01-03,WN,872,2773
20:01:00,2013-01-03,B6,1010,985
15:27:00,2013-01-04,DL,762,781
15:35:00,2013-01-04,MQ,762,4658
15:52:00,2013-01-04,EV,628,4370
16:19:00,2013-01-04,B6,340,1053
17:22:00,2013-01-04,B6,2422,83
17:45:00,2013-01-04,UA,1504,471
17:57:00,2013-01-04,DL,2586,2126
19:32:00,2013-01-04,UA,4963,15
20:29:00,2013-01-04,EV,319,4480
11:00:00,2013-01-05,EV,488,4913
16:16:00,2013-01-05,DL,762,2247
16:23:00,2013-01-05,9E,213,3393
17:42:00,2013-01-05,UA,719,325
20:01:00,2013-01-05,UA,719,433
22:05:00,2013-01-05,DL,1069,83
22:18:00,2013-01-05,UA,2475,808
23:08:00,2013-01-05,EV,488,4430
10:15:00,2013-01-06,US,529,675
13:53:00,2013-01-06,B6,1023,545
18:46:00,2013-01-06,DL,950,2377
18:49:00,2013-01-06,DL,762,847
19:06:00,2013-01-06,WN,169,808
21:18:00,2013-01-06,EV,602,4437
21:42:00,2013-01-06,9E,213,3395
22:08:00,2013-01-06,EV,569,4536
10:17:00,2013-01-07,UA,1416,10
14:02:00,2013-01-07,MQ,1020,4646
14:26:00,2013-01-07,AA,1096,2099
15:20:00,2013-01-07,FL,762,348
15:53:00,2013-01-07,9E,187,3452
19:14:00,2013-01-07,DL,746,2042
20:21:00,2013-01-07,AA,2446,145
23:35:00,2013-01-07,B6,950,399
10:04:00,2013-01-08,UA,200,1289
12:12:00,2013-01-08,B6,1069,25
13:14:00,2013-01-08,EV,416,4693
13:21:00,2013-01-08,MQ,764,4601
16:45:00,2013-01-08,MQ,213,3823
16:51:00,2013-01-08,MQ,425,4172
18:14:00,2013-01-08,AA,1389,759
19:06:00,2013-01-08,DL,1010,1695
