flight_number,airline,passengers,arrival_date,arrival_time
739,B6,1617,20130101,19000101042500
1743,DL,760,20130101,19000101083700
49,B6,1028,20130101,19000101084900
1124,UA,2565,20130101,19000101092300
1060,UA,1068,20130101,19000101133900
625,B6,1428,20130101,19000101154000
411,VX,2475,20130101,19000101163800
4516,EV,946,20130101,19000101165000
128,WN,725,20130101,19000101192500
1053,UA,404,20130101,19000101195100
9,B6,944,20130101,19000101204400
177,AA,2586,20130101,19000101223800
5310,EV,963,20130102,19000101082600
343,B6,1023,20130102,19000101090100
926,US,529,20130102,19000101090300
135,B6,1074,20130102,19000101094800
2047,DL,762,20130102,19000101103700
1601,B6,1080,20130102,19000101104700
4,B6,301,20130102,19000101110400
1443,DL,1076,20130102,19000101151200
713,B6,1598,20130103,19000101030200
781,DL,762,20130103,19000101154700
3689,9E,94,20130103,19000101173900
947,DL,762,20130103,19000101213100
269,AA,2422,20130103,19000101215200
4555,MQ,479,20130103,19000101220600
1919,DL,1020,20130104,19000101075900
1701,UA,1065,20130104,19000101090400
910,UA,1504,20130104,19000101094000
4652,EV,550,20130104,19000101100400
251,VX,2248,20130104,19000101115600
680,WN,711,20130104,19000101164000
15,UA,4963,20130104,19000101193200
1703,UA,200,20130104,19000101200000
130,B6,301,20130104,19000101211400
593,UA,2434,20130104,19000101211900
1147,DL,762,20130104,19000101222800
4695,EV,209,20130104,19000101230900
30,B6,264,20130105,19000101010600
926,US,529,20130105,19000101082900
725,B6,1576,20130105,19000101103500
441,UA,1728,20130105,19000101104700
2395,DL,1035,20130105,19000101113200
721,AA,1389,20130105,19000101130100
1131,DL,502,20130105,19000101143000
4658,MQ,762,20130105,19000101144700
5469,EV,963,20130105,19000101164200
3650,9E,483,20130105,19000101201900
3395,9E,213,20130105,19000101214600
731,DL,502,20130106,19000101085800
1737,UA,2454,20130106,19000101090800
2119,DL,1020,20130106,19000101093700
611,B6,828,20130106,19000101112200
251,VX,2248,20130106,19000101123000
1783,B6,944,20130106,19000101163600
1508,DL,1074,20130106,19000101192900
926,DL,746,20130106,19000101204500
7,AS,2402,20130106,19000101214600
2006,DL,1183,20130107,19000101082800
135,WN,1620,20130107,19000101085400
4691,EV,533,20130107,19000101100000
721,AA,1389,20130107,19000101124200
179,AA,2586,20130107,19000101131100
630,UA,719,20130107,19000101181100
847,DL,762,20130107,19000101185400
161,UA,2475,20130107,19000101185900
449,US,529,20130107,19000101185900
1715,DL,1183,20130107,19000101215200
303,AA,733,20130108,19000101083600
1331,DL,1626,20130108,19000101184800
537,B6,997,20130108,19000101200500
4413,MQ,1147,20130108,19000101202000
981,WN,738,20130108,19000101202700
1269,UA,1023,20130108,19000101210000
1243,UA,200,20130108,19000101213100
1611,AA,1096,20130108,19000101213900
890,UA,1085,20130108,19000101230600
349,FL,762,20130109,19000101163100
773,AA,1389,20130109,19000101193600
1635,AA,1598,20130109,19000101202800
3483,WN,1411,20130110,19000101100700
717,AA,1389,20130110,19000101112200
1277,US,544,20130110,19000101120200
1873,WN,888,20130110,19000101125200
3452,9E,187,20130110,19000101155100
505,B6,1065,20130110,19000101160400
1116,UA,200,20130110,19000101165700
3817,EV,820,20130110,19000101172900
3422,9E,187,20130111,19000101095400
313,AA,733,20130111,19000101100600
1865,DL,2586,20130111,19000101101400
4388,EV,820,20130111,19000101105600
1109,DL,1010,20130111,19000101110800
19,AA,2475,20130111,19000101133100
3820,EV,642,20130111,19000101175400
4309,EV,143,20130111,19000101205900
371,B6,1076,20130112,19000101083600
443,AA,1089,20130112,19000101101700
4220,9E,427,20130112,19000101103700
3661,9E,264,20130112,19000101104400
237,UA,1400,20130112,19000101133900
5712,EV,228,20130112,19000101160200
759,AA,1389,20130112,19000101184000
5693,EV,229,20130112,19000101202300
644,WN,711,20130113,19000101132800
1685,DL,950,20130113,19000101152900
377,B6,1076,20130113,19000101171100
1200,UA,2425,20130113,19000101203500
695,AA,1521,20130113,19000101223000
4627,EV,529,20130113,19000101224600
79,B6,944,20130114,19000101091000
3935,WN,725,20130114,19000101095300
1051,B6,340,20130114,19000101095700
4230,EV,605,20130114,19000101101300
469,WN,764,20130114,19000101113900
4376,EV,1131,20130114,19000101115100
714,UA,1085,20130114,19000101124800
4702,EV,445,20130114,19000101180200
847,DL,762,20130114,19000101184400
130,B6,301,20130114,19000101200400
891,WN,1411,20130114,19000101202700
695,UA,733,20130114,19000101221000
4519,EV,169,20130114,19000101230400
4478,MQ,502,20130115,19000101112200
4240,EV,282,20130115,19000101114000
655,UA,200,20130115,19000101114500
1885,DL,950,20130115,19000101114600
4087,EV,284,20130115,19000101131700
523,B6,937,20130115,19000101135800
1623,AA,1085,20130115,19000101142900
1186,UA,1085,20130115,19000101152200
3267,EV,284,20130115,19000101163700
1837,AA,1096,20130116,19000101100200
772,UA,1085,20130116,19000101104700
413,VX,2475,20130116,19000101202200
120,UA,719,20130116,19000101210100
1221,UA,1372,20130116,19000101220300
1919,DL,1020,20130117,19000101082100
4610,MQ,762,20130117,19000101111900
3792,MQ,213,20130117,19000101121300
251,VX,2248,20130117,19000101121400
4269,EV,628,20130117,19000101122800
4231,EV,212,20130117,19000101153700
1550,UA,2227,20130117,19000101183400
1703,UA,200,20130117,19000101190900
1134,UA,1400,20130117,19000101202000
4670,EV,748,20130117,19000101213500
1485,DL,950,20130117,19000101222300
269,AA,2422,20130117,19000101223700
1429,US,544,20130118,19000101112900
3840,EV,946,20130118,19000101160800
5164,EV,1008,20130118,19000101163700
4434,EV,209,20130118,19000101170400
153,B6,944,20130118,19000101173700
4410,MQ,213,20130118,19000101181100
3944,MQ,184,20130118,19000101193900
4202,EV,872,20130118,19000101195200
575,AA,1747,20130118,19000101200100
4543,EV,1017,20130118,19000101214100
2391,DL,1005,20130118,19000101220100
1030,UA,2475,20130119,19000101090200
71,B6,1005,20130119,19000101091500
4147,EV,284,20130119,19000101125000
664,UA,1605,20130119,19000101133600
