flight_number,airline,passengers,arrival_date,arrival_time
1241,UA,997,20130101,19000101000800
515,B6,1065,20130101,19000101002500
1517,UA,2565,20130101,19000101002500
30,B6,264,20130101,19000101002800
3325,9E,1391,20130101,19000101002900
128,B6,266,20130101,19000101003200
22,B6,209,20130101,19000101003200
35,B6,1028,20130101,19000101005800
701,B6,1598,20130101,19000101021000
713,B6,1598,20130101,19000101024900
1696,UA,719,20130101,19000101074000
3768,MQ,719,20130101,19000101080700
461,DL,762,20130101,19000101081200
575,DL,746,20130101,19000101083300
1743,DL,760,20130101,19000101083700
4650,MQ,762,20130101,19000101083700
49,B6,1028,20130101,19000101084900
1714,UA,1416,20130101,19000101085000
1092,UA,733,20130101,19000101085200
44,B6,209,20130101,19000101085400
20,B6,264,20130101,19000101085700
831,DL,502,20130101,19000101090700
507,B6,1065,20130101,19000101091300
1837,AA,1096,20130101,19000101092000
1141,AA,1089,20130101,19000101092300
194,UA,2475,20130101,19000101092400
203,B6,2248,20130101,19000101093600
27,DL,187,20130101,19000101094000
707,AA,1389,20130101,19000101094100
1115,UA,997,20130101,19000101094800
4406,MQ,427,20130101,19000101094900
1879,DL,1076,20130101,19000101095900
1162,UA,1605,20130101,19000101095900
960,UA,1068,20130101,19000101095900
725,B6,1576,20130101,19000101100400
4490,MQ,479,20130101,19000101100600
4534,MQ,1147,20130101,19000101100700
2279,AA,1096,20130101,19000101100800
1665,UA,2454,20130101,19000101101600
987,B6,944,20130101,19000101101700
487,US,541,20130101,19000101101900
11,AS,2402,20130101,19000101102000
56,B6,266,20130101,19000101102000
4412,EV,550,20130101,19000101102100
2119,DL,1020,20130101,19000101102200
477,UA,1620,20130101,19000101102500
675,US,529,20130101,19000101102600
399,VX,2475,20130101,19000101102700
1865,DL,2586,20130101,19000101103700
709,B6,1598,20130101,19000101103900
1601,B6,1080,20130101,19000101104100
473,UA,1416,20130101,19000101104100
341,B6,1041,20130101,19000101104300
580,UA,719,20130101,19000101104800
4,B6,301,20130101,19000101105700
1843,DL,1089,20130101,19000101105700
671,B6,2475,20130101,19000101105800
495,DL,2422,20130101,19000101105900
869,DL,488,20130101,19000101110200
914,DL,1620,20130101,19000101110300
1959,DL,944,20130101,19000101110300
181,DL,502,20130101,19000101110700
715,AA,1389,20130101,19000101111100
485,DL,746,20130101,19000101112400
223,UA,2586,20130101,19000101113200
443,AA,1089,20130101,19000101113600
413,AA,1598,20130101,19000101113700
1885,DL,950,20130101,19000101114000
4709,EV,282,20130101,19000101114000
1747,DL,762,20130101,19000101114300
4175,EV,583,20130101,19000101114600
59,B6,1005,20130101,19000101114700
4471,MQ,431,20130101,19000101120400
1103,US,529,20130101,19000101120400
1401,UA,1085,20130101,19000101120700
1626,UA,2425,20130101,19000101121500
251,VX,2248,20130101,19000101121900
57,B6,1028,20130101,19000101122100
1441,US,541,20130101,19000101122500
1220,UA,1400,20130101,19000101122800
4277,EV,628,20130101,19000101122900
2137,DL,1010,20130101,19000101123500
120,DL,2475,20130101,19000101123700
1625,UA,1605,20130101,19000101123900
647,AA,1089,20130101,19000101124100
1529,DL,2248,20130101,19000101124600
503,B6,1065,20130101,19000101125500
1903,DL,1047,20130101,19000101125700
501,UA,937,20130101,19000101125800
327,AA,733,20130101,19000101130100
4180,EV,645,20130101,19000101130500
4485,MQ,479,20130101,19000101130500
1061,B6,1521,20130101,19000101130900
4511,EV,246,20130101,19000101131000
4425,MQ,213,20130101,19000101131200
721,AA,1389,20130101,19000101131300
1294,UA,1065,20130101,19000101132300
4553,MQ,419,20130101,19000101132400
31,B6,944,20130101,19000101132500
1085,US,544,20130101,19000101132500
1060,UA,1068,20130101,19000101133900
4431,MQ,431,20130101,19000101134200
2219,DL,1020,20130101,19000101134500
4275,EV,463,20130101,19000101135000
19,AA,2475,20130101,19000101135100
23,VX,2586,20130101,19000101135300
731,AA,1389,20130101,19000101135600
4106,EV,116,20130101,19000101135800
373,B6,1076,20130101,19000101140200
196,US,2153,20130101,19000101140800
1757,AA,888,20130101,19000101141500
688,UA,2565,20130101,19000101142800
1623,AA,1085,20130101,19000101142900
641,B6,2586,20130101,19000101143500
133,B6,1074,20130101,19000101144000
5311,EV,488,20130101,19000101144000
1171,DL,1080,20130101,19000101144500
1086,UA,1416,20130101,19000101144700
4118,EV,488,20130101,19000101145100
1197,UA,937,20130101,19000101145200
4426,MQ,479,20130101,19000101145400
523,B6,937,20130101,19000101150000
3850,EV,746,20130101,19000101150100
703,UA,2475,20130101,19000101150400
1615,US,529,20130101,19000101150700
4665,EV,319,20130101,19000101150800
51,HA,4983,20130101,19000101151600
4564,MQ,502,20130101,19000101152300
348,FL,762,20130101,19000101153200
617,UA,733,20130101,19000101153700
1251,WN,1620,20130101,19000101154000
4390,EV,284,20130101,19000101155400
3728,MQ,719,20130101,19000101155700
1972,DL,213,20130101,19000101155800
4292,EV,212,20130101,19000101160000
615,B6,828,20130101,19000101160800
4491,MQ,419,20130101,19000101161300
906,UA,1065,20130101,19000101162400
765,UA,1372,20130101,19000101162900
4105,9E,228,20130101,19000101163400
2247,DL,762,20130101,19000101163400
3843,9E,209,20130101,19000101163500
4372,EV,199,20130101,19000101163700
4497,EV,277,20130101,19000101163800
3823,MQ,213,20130101,19000101164300
1663,UA,1608,20130101,19000101164500
685,UA,733,20130101,19000101164900
3369,9E,184,20130101,19000101165000
3792,9E,264,20130101,19000101165100
4403,MQ,427,20130101,19000101165100
1445,US,544,20130101,19000101165100
720,US,529,20130101,19000101165200
3331,9E,187,20130101,19000101170100
4172,MQ,425,20130101,19000101170700
4223,EV,529,20130101,19000101171400
278,UA,1023,20130101,19000101171800
16,UA,2402,20130101,19000101172600
1161,B6,1035,20130101,19000101172700
2223,AA,888,20130101,19000101173100
1665,US,544,20130101,19000101173300
83,B6,2422,20130101,19000101173500
12,B6,209,20130101,19000101173500
1790,AA,187,20130101,19000101174600
687,UA,733,20130101,19000101174600
1105,UA,997,20130101,19000101175000
917,B6,740,20130101,19000101175100
4588,MQ,1020,20130101,19000101175100
3338,9E,740,20130101,19000101175300
1997,DL,1035,20130101,19000101175300
456,UA,1065,20130101,19000101180200
1769,AA,1089,20130101,19000101180300
341,AA,733,20130101,19000101180400
4579,MQ,544,20130101,19000101181700
4415,MQ,431,20130101,19000101181800
1134,UA,1504,20130101,19000101183000
162,UA,404,20130101,19000101183000
525,B6,937,20130101,19000101183100
1600,UA,2454,20130101,19000101183100
1699,UA,2565,20130101,19000101183700
80,UA,1085,20130101,19000101185100
1939,DL,1620,20130101,19000101185200
1222,UA,2227,20130101,19000101185400
689,UA,733,20130101,19000101185600
847,DL,762,20130101,19000101185700
3321,9E,1029,20130101,19000101185800
1016,B6,187,20130101,19000101190500
4479,MQ,431,20130101,19000101190800
1411,DL,1069,20130101,19000101191300
1085,B6,541,20130101,19000101191800
1447,US,544,20130101,19000101192400
3651,9E,427,20130101,19000101192500
565,AA,1391,20130101,19000101193300
1726,UA,2425,20130101,19000101193500
4705,EV,746,20130101,19000101193700
257,AA,2248,20130101,19000101194100
1587,UA,1068,20130101,19000101194400
575,AA,1747,20130101,19000101195300
2331,DL,502,20130101,19000101195600
656,US,2133,20130101,19000101195600
185,B6,2446,20130101,19000101200000
35,US,2153,20130101,19000101200200
369,B6,1035,20130101,19000101200500
15,UA,4963,20130101,19000101200500
15,B6,1069,20130101,19000101200600
675,B6,2475,20130101,19000101200700
5714,EV,228,20130101,19000101200700
4622,MQ,764,20130101,19000101200800
4131,EV,277,20130101,19000101201200
3384,WN,711,20130101,19000101201500
705,B6,1598,20130101,19000101202000
373,US,541,20130101,19000101202100
4334,EV,419,20130101,19000101202300
31,DL,2586,20130101,19000101202700
4092,EV,533,20130101,19000101202800
2944,WN,738,20130101,19000101203400
376,UA,937,20130101,19000101203600
1066,WN,1411,20130101,19000101203700
527,B6,937,20130101,19000101204300
9,B6,944,20130101,19000101204400
1339,DL,2454,20130101,19000101205100
163,B6,1005,20130101,19000101205200
1284,UA,2565,20130101,19000101205200
1935,DL,1010,20130101,19000101205500
3830,9E,636,20130101,19000101205900
535,UA,2475,20130101,19000101210900
7,AS,2402,20130101,19000101211100
4261,9E,427,20130101,19000101211700
4410,MQ,213,20130101,19000101212400
1165,UA,2454,20130101,19000101212500
3359,9E,740,20130101,19000101212600
1684,UA,1023,20130101,19000101213100
1271,UA,733,20130101,19000101213200
