flight_number,airline,passengers,arrival_date,arrival_time
4382,EV,488,20130102,19000101195000
3320,9E,301,20130103,19000101223800
1078,UA,1569,20130107,19000101201900
3744,MQ,719,20130108,19000101220600
1116,UA,200,20130109,19000101161700
4599,MQ,1020,20130110,19000101082300
216,WN,711,20130110,19000101190100
2143,DL,1089,20130111,19000101110000
1692,UA,937,20130112,19000101190900
3542,9E,1029,20130112,19000101201600
4424,EV,416,20130113,19000101094100
25,B6,1069,20130114,19000101123600
2003,DL,1096,20130115,19000101100600
181,AA,2475,20130115,19000101194400
2006,DL,1183,20130117,19000101084900
600,B6,273,20130117,19000101104200
4695,EV,209,20130117,19000101230500
695,UA,733,20130118,19000101212800
930,DL,1076,20130120,19000101143900
4628,EV,872,20130121,19000101151500
161,UA,2475,20130121,19000101192200
1147,DL,762,20130121,19000101223400
3805,EV,708,20130122,19000101214200
41,B6,944,20130123,19000101123500
4543,EV,1017,20130123,19000101215000
299,UA,1372,20130125,19000101010700
4525,MQ,1147,20130125,19000101184000
2126,DL,2586,20130127,19000101180600
1847,DL,762,20130130,19000101124800
2185,US,214,20130130,19000101193600
5693,EV,229,20130131,19000101222800
4650,MQ,762,20130201,19000101082100
1791,US,541,20130201,19000101092900
2239,WN,1411,20130201,19000101161500
4687,EV,569,20130201,19000101161600
645,FL,762,20130201,19000101214000
4388,EV,820,20130202,19000101110000
516,UA,2227,20130202,19000101191700
2159,DL,944,20130202,19000101214200
2171,US,214,20130203,19000101120000
104,B6,301,20130203,19000101231100
4201,EV,212,20130204,19000101070300
1010,B6,187,20130204,19000101181400
1602,UA,1416,20130205,19000101093800
11,AS,2402,20130205,19000101104100
547,B6,1023,20130206,19000101202800
5026,EV,488,20130208,19000101123700
720,US,529,20130211,19000101171100
4543,EV,1017,20130215,19000101211900
711,AA,1389,20130216,19000101092400
1174,B6,200,20130217,19000101150500
5712,EV,228,20130217,19000101151700
298,WN,1411,20130217,19000101154200
2042,DL,746,20130219,19000101195200
904,WN,1605,20130223,19000101183200
415,VX,2475,20130223,19000101234600
1269,UA,1023,20130224,19000101201700
4133,EV,488,20130226,19000101170900
2379,DL,1076,20130228,19000101123300
5060,EV,833,20130301,19000101152800
1247,DL,1990,20130302,19000101114800
3944,MQ,184,20130302,19000101200300
383,B6,1076,20130304,19000101002900
3828,EV,746,20130304,19000101083600
4638,EV,569,20130304,19000101105300
354,FL,397,20130304,19000101215900
